Dahili_uydu_alici,Ekran_Boyutu,Garanti_Tipi,Goruntu_Kalitesi,Goruntuleme_Teknolojisi,Smart_TV,Cozunurluk,Fiyat
0,4,9,0,3,0,6,50999.0
0,1,16,0,2,0,3,47990.0
0,4,15,0,1,0,6,11499.0
1,3,23,4,2,1,6,999.0
1,1,16,0,4,0,6,110400.0
0,1,15,0,1,0,6,14799.0
0,4,15,0,2,0,3,11799.0
0,3,22,3,2,1,2,6499.0
0,4,22,0,2,0,3,12199.0
1,4,15,0,4,0,3,21000.0
0,1,12,0,2,0,3,30000.0
0,4,4,0,0,0,6,17999.0
0,4,16,0,2,0,6,23500.0
0,1,6,0,2,0,3,27503.82
0,4,15,0,1,0,6,8599.0
0,4,5,0,2,0,6,10199.0
0,4,15,0,2,0,3,11499.0
0,1,22,0,2,0,6,20999.0
0,3,15,4,2,0,6,7749.0
0,4,15,0,1,0,6,16399.0
0,1,15,0,4,0,6,69799.0
0,1,15,0,2,0,3,49999.0
0,1,12,0,3,0,6,80000.0
0,1,4,0,2,0,3,25300.0
1,1,16,0,4,0,3,70899.0
0,1,9,0,2,0,6,42999.0
0,4,15,0,2,0,6,14398.0
0,4,15,4,2,1,1,5499.9
0,1,15,0,2,0,6,59999.0
0,3,15,4,2,0,1,4299.0
1,4,16,0,3,0,6,56305.0
1,3,23,3,2,1,6,2999.0
0,3,23,0,2,0,1,5890.0
0,4,7,0,2,0,2,14500.0
0,4,17,3,2,0,3,14899.0
0,3,22,4,2,1,1,4799.0
0,4,5,0,2,0,6,10999.0
0,4,22,0,2,0,3,15495.0
1,3,22,3,2,1,2,6499.0
0,1,15,0,2,0,3,22999.0
0,4,15,3,2,1,6,16999.0
0,4,12,0,2,0,3,18000.0
0,1,16,1,4,0,5,89799.0
0,1,15,0,3,0,3,51891.0
0,4,9,0,2,0,3,17399.0
0,1,9,0,3,0,6,63499.0
0,4,13,4,2,1,1,6850.0
0,3,11,3,2,0,6,11999.0
0,4,15,0,5,0,3,22999.0
0,4,17,3,2,0,2,8175.0
0,4,15,0,4,0,6,31000.0
0,3,15,4,2,1,2,3999.0
0,4,15,0,2,0,3,22000.0
0,4,9,0,5,0,3,36779.49
0,1,15,0,4,0,3,47500.0
0,4,22,0,2,0,3,12749.0
0,4,22,0,2,0,3,14999.0
0,4,22,0,2,0,3,19699.0
0,4,7,3,2,0,2,7499.0
0,4,12,0,2,0,3,8250.0
0,3,22,4,2,0,1,5100.0
0,4,15,0,2,0,3,17250.0
0,4,15,0,4,0,3,21155.85
0,1,16,0,2,0,3,33659.0
0,1,16,0,2,0,6,40879.0
0,4,5,3,2,0,6,8500.0
0,3,15,4,2,1,1,3870.0
0,1,15,0,2,0,3,22699.0
0,4,12,0,2,0,3,45000.0
0,4,5,3,2,0,6,12499.0
0,3,15,4,2,1,6,5501.0
0,4,16,0,2,1,3,21440.0
0,4,22,3,2,0,2,9899.0
0,3,5,4,2,1,1,5249.0
0,4,15,0,2,0,3,12999.0
0,1,16,0,2,0,3,122100.0
0,4,23,0,2,0,3,11900.0
0,3,7,3,2,1,1,4899.99
0,3,5,4,0,0,6,6599.0
0,3,7,3,2,1,2,5179.9
0,3,5,3,0,1,6,6049.0
0,4,1,3,2,0,2,11649.0
0,4,5,3,2,1,6,7500.0
0,4,15,0,3,0,3,37000.0
0,4,22,0,2,0,3,13400.0
0,3,1,4,2,0,2,8899.0
0,4,23,0,2,0,6,44000.0
0,4,22,3,2,0,2,8899.0
0,4,19,0,2,0,3,10499.0
0,3,15,3,2,1,1,3950.0
0,3,10,4,2,1,1,3999.0
0,4,19,0,2,0,3,12499.0
0,4,22,0,2,0,3,17499.0
0,4,17,0,2,0,6,11990.0
0,4,11,0,2,1,6,15995.0
0,1,15,0,4,0,6,35500.0
0,4,15,0,2,0,3,14500.0
0,1,15,0,1,0,6,14659.6
0,3,15,0,1,0,6,10999.0
0,4,22,3,2,0,2,6680.0
0,4,5,0,5,0,6,21999.0
0,3,22,4,2,0,1,8399.0
0,1,22,0,2,0,4,26349.0
0,3,5,0,2,0,6,8999.0
0,1,15,0,3,0,6,99999.0
0,1,4,0,2,0,6,34750.0
0,4,1,0,2,0,3,18499.0
0,1,15,0,1,0,6,21471.82
0,1,22,0,2,0,3,16179.0
1,1,16,0,4,0,6,114999.0
0,4,5,0,4,0,6,20800.0
0,4,15,3,2,0,2,6299.0
0,1,16,1,4,0,6,104999.0
0,4,13,3,2,1,2,9750.0
0,4,15,0,4,0,6,18499.0
0,4,22,0,3,0,3,35999.0
0,4,15,3,2,0,2,10289.0
0,1,15,0,1,0,6,18999.0
0,4,11,0,2,0,3,10250.0
0,4,15,0,2,0,3,12900.0
1,3,5,3,2,1,6,2800.0
0,4,15,0,2,0,3,10779.02
0,4,23,3,2,0,2,6888.0
0,3,15,4,2,1,1,4086.0
0,1,16,0,2,0,3,33499.0
0,4,15,0,2,0,3,11850.0
0,4,21,0,2,0,3,10000.0
0,3,7,4,2,1,1,5998.0
0,4,22,0,1,0,3,8499.0
0,3,23,4,2,0,1,4300.0
0,1,16,1,4,0,6,111000.0
0,3,5,4,2,1,6,5799.0
0,4,15,0,1,0,6,8599.0
0,4,13,3,2,0,2,7700.0
0,4,15,0,2,0,3,10999.0
0,4,17,0,1,0,3,14725.99
0,1,15,0,2,0,3,20799.0
0,4,15,3,2,0,6,7999.0
1,4,23,3,2,0,6,26950.0
0,3,19,3,2,0,2,5100.0
0,1,21,0,2,0,3,45000.0
0,1,5,0,0,0,6,18499.0
0,1,15,0,2,0,3,98799.0
0,4,7,3,2,0,2,7300.0
0,1,5,0,2,0,6,26499.0
1,3,15,3,2,1,6,7278.0
0,3,15,4,2,1,1,4708.0
0,2,16,0,4,0,6,224900.0
0,3,15,3,2,1,2,5789.0
0,3,11,3,2,0,6,15249.0
0,4,1,0,2,0,3,14500.0
0,1,16,0,4,0,3,82250.0
0,1,16,0,3,0,3,81263.0
0,4,22,0,2,0,3,11899.0
0,3,5,0,0,0,6,19799.0
0,4,15,0,3,0,3,48999.0
0,4,15,0,1,0,6,8999.0
0,1,15,0,1,0,6,6218.37
0,3,15,0,2,0,1,8399.0
0,1,12,0,2,0,3,37250.0
0,4,15,0,2,0,3,19900.0
0,3,5,4,2,1,6,6750.0
0,4,23,0,2,0,6,11685.16
0,4,12,0,3,0,3,60000.0
0,4,23,0,2,0,2,7790.0
0,1,16,0,4,0,6,59790.0
0,4,12,0,2,0,2,11299.0
0,4,15,0,2,0,3,25900.0
0,1,12,0,2,0,3,38899.0
0,4,15,0,2,0,6,27422.0
0,4,15,3,2,0,2,9088.88
0,4,15,3,2,0,2,5828.19
0,4,15,0,1,0,2,7799.0
0,3,15,3,2,1,6,7399.0
0,4,15,0,2,0,6,18920.0
0,2,5,0,2,0,6,84999.0
0,4,4,0,0,0,6,16999.0
0,1,15,0,2,0,3,18800.0
0,4,15,0,2,0,3,18499.0
0,1,8,0,2,0,3,31990.0
0,4,1,0,2,0,3,13999.0
0,4,15,3,2,1,2,10999.0
0,4,15,0,5,0,3,34990.0
0,3,4,4,0,0,6,6392.0
0,4,8,0,2,0,3,22890.0
0,4,22,3,2,0,6,11999.0
0,1,15,0,4,0,6,21500.0
0,1,16,0,4,0,3,62750.0
0,1,15,0,2,0,6,43999.0
0,4,19,3,2,0,2,7200.0
0,1,15,0,3,0,6,125499.0
0,4,22,0,2,0,3,17599.0
0,3,15,4,2,1,1,3799.0
0,1,12,0,2,0,6,70000.0
0,4,16,0,3,0,3,64373.97
0,4,15,0,4,0,6,38290.0
0,4,15,0,1,0,6,9480.0
0,3,15,4,2,1,1,3621.84
0,3,23,3,2,1,6,4021.41
0,4,22,0,2,0,3,11250.0
0,3,14,4,2,1,1,3999.0
0,1,3,0,2,0,6,16664.99
0,1,16,0,2,0,6,32990.0
0,1,15,0,0,0,3,63000.0
0,4,16,1,4,0,6,53199.0
0,4,15,0,2,0,3,9354.76
0,3,3,3,4,0,6,7429.99
0,4,22,0,2,0,3,15379.0
0,3,22,4,2,0,1,6299.0
0,1,15,0,2,0,6,25312.0
0,4,5,4,2,0,1,7950.0
0,1,9,0,2,0,6,124999.0
0,3,23,4,2,0,0,4589.0
0,4,23,0,2,0,6,15000.0
0,1,15,3,2,1,6,12438.23
0,4,15,0,2,0,6,37699.0
0,4,15,0,4,0,6,18449.0
0,3,5,4,2,0,1,6725.35
0,4,8,3,2,1,2,8162.0
0,3,15,3,2,1,6,5760.07
0,4,15,3,2,0,3,13000.0
1,3,15,4,2,0,1,6650.0
0,4,19,3,2,1,2,7190.0
0,4,15,0,2,0,3,10993.75
0,4,5,0,2,0,6,32999.0
0,4,15,3,2,0,6,9980.0
0,1,15,0,4,0,6,28849.0
0,1,5,0,2,0,6,28499.0
0,3,21,4,2,0,6,4499.0
0,4,12,0,2,0,3,17900.0
0,4,4,3,2,1,2,9863.0
0,4,5,3,2,0,6,7318.0
0,4,23,0,2,0,6,13039.0
0,4,15,3,2,0,2,11839.0
0,4,15,0,2,0,3,13499.0
0,4,22,0,2,0,3,13999.0
0,1,15,0,2,0,3,38000.0
0,1,15,0,4,0,3,64999.0
